AnnoScolastico,AreaGeografica,Regione,Provincia,CodiceIstitutoRiferimento,DenominazioneIstitutoRiferimento,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,CodiceComuneScuola,DescrizioneComune,DescrizioneCaratteristicaScuola,DescrizioneTipologiaGradoIstruzioneScuola,IndicazioneSedeDirettivo,IndicazioneSedeOmnicomprensivo,IndirizzoEmailScuola,IndirizzoPecScuola,SitoWebScuola,SedeScolastica
201718,CENTRO,LAZIO,ROMA,RMIC833007,"""GIANNI RODARI"" - VIA NIOBE",RMEE83302A,PLESSO CASALOTTO,VIA ROCCA IMPERIALE 37/39,00118,H501,ROMA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,RMIC833007@istruzione.it,Non Disponibile,WWW.ICGIANNIRODARI.GOV.IT,SI
201718,NORD OVEST,LOMBARDIA,PAVIA,PVIC819006,ISTITUTO COMPRENSIVO VIDIGULFO,PVMM819028,LARDIRAGO,VIA VITTORIO EMANUELE SNC,27016,E454,LARDIRAGO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,PVIC819006@istruzione.it,Non Disponibile,www.icvidigulfo.gov.it,SI
201718,NORD EST,VENETO,VICENZA,VIIC834006,"IC LONGARE ""BIZIO""",VIMM834028,SMS CASTEGNERO / VILLAGANZERLA,VIA PIAZZA 8,36020,C056,CASTEGNERO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,VIIC834006@istruzione.it,Non Disponibile,iclongare.gov.it,SI
201718,SUD,CAMPANIA,NAPOLI,NAIC86400X,PIMONTE I.C. PARIDE DEL POZZO,NAEE864012,PIMONTE - FRANCHE,VIA FRANCHE,80050,G670,PIMONTE,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,NAIC86400X@istruzione.it,Non Disponibile,www.icsdelpozzo.it,SI
201718,NORD OVEST,PIEMONTE,TORINO,TOIC88200X,I.C. TORINO - VIA SIDOLI,TOMM882011,IC V.SIDOLI-V.PALMA CESNOLA-TO,VIA PALMA DI CESNOLA 29,10127,L219,TORINO,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,TOIC88200X@istruzione.it,Non Disponibile,htt//www.icviasidoli.it,SI
201718,CENTRO,LAZIO,ROMA,RMIC846009,"""PIO LA TORRE""",RMAA846038,VIA DECIO AZZOLINO,VIA DECIO AZZOLIN0 N. 33,00168,H501,ROMA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC846009@istruzione.it,Non Disponibile,http//www.icpiolatorre.gov.it/,SI
201718,NORD OVEST,LIGURIA,IMPERIA,IMIC81500V,I.C. SANREMO PONENTE,IMEE815011,OSPEDALETTI,CORSO MARCONI72,18014,G164,OSPEDALETTI,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,IMIC81500V@istruzione.it,Non Disponibile,wwwicsanremoponente.gov.it,SI
201718,NORD EST,EMILIA ROMAGNA,PARMA,PRIC818005,I.C. TORRILE,PRMM818016,"TORRILE -""FALCONE E BORSELLINO""",VIA GIUFFREDI12,43056,L299,TORRILE,NORMALE,SCUOLA PRIMO GRADO,NO,Non Disponibile,PRIC818005@istruzione.it,Non Disponibile,www.istitutocomprensivoditorrile.it,SI
201718,SUD,PUGLIA,LECCE,LEIC86300N,CASARANO POLO 1,LEEE86301Q,VIA RUFFANO,VIA RUFFANO,73042,B936,CASARANO,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,LEIC86300N@istruzione.it,Non Disponibile,www.polo1casarano.it,SI
201718,ISOLE,SICILIA,PALERMO,PAIC812004,I.C. CIMINNA -DON RIZZO,PAEE812027,I.C. CIMINNA - DON RIZZO,P.ZZA A.DE GASPERI 65,90023,C696,CIMINNA,NORMALE,SCUOLA PRIMARIA,NO,Non Disponibile,PAIC812004@istruzione.it,Non Disponibile,www.icciminna.gov.it,SI
201718,CENTRO,LAZIO,ROMA,RMIC8C500V,I.C. ANZIO I,RMAA8C501Q,ANZIO I C.U.,VIA AMBROSINI 6,00042,A323,ANZIO,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,RMIC8C500V@istruzione.it,Non Disponibile,www.anziouno.altervista.org,SI
201718,ISOLE,SICILIA,CATANIA,CTIC887001,IC F. DE ROBERTO - CATANIA,CTAA88703X,SCUOLA MATPLESSO S M. CASTALDI,VIA S. MARTELLI CASTALDI S.N.C,95123,C351,CATANIA,NORMALE,SCUOLA INFANZIA,NO,Non Disponibile,CTIC887001@istruzione.it,Non Disponibile,www.derobertoct.gov.it,SI
